#
#
#
#
#
#
#
#
Mass Radius Temp Rho Pres Lumi O16 Na Mg Al Si P S Ca Cr Fe Ni Intentionally_Blank
0.0018260587218376066 0.09081855281745409 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.0019488379297696457 0.09283676032020091 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.002076980435898459 0.09485496782294774 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.0022105987331243636 0.09687317532569455 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.0023498051338827187 0.09889138282844137 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.002494711654918738 0.1009095903311882 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.0026454303434761727 0.10292779783393502 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.002802072827455506 0.10494600533668184 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.002964737521249634 0.10696405587819809 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.0031335615413079013 0.10898226338094491 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.0033086432419052875 0.11100047088369173 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.0034900936870331063 0.11301867838643855 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.003678023455076268 0.11503688588918537 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.003872543044597764 0.1170550933919322 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.004073762735702993 0.11907330089467902 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.004281792586293999 0.12109150839742584 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.004496742262397691 0.12310971590017265 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.004718703534552606 0.1251277664416889 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.004947820836149296 0.12714597394443572 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.005184186023476965 0.12916418144718256 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.005427907975471534 0.13118238894992937 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.005679095131882007 0.13320059645267618 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.005937855866146309 0.13521880395542302 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.006204298298997909 0.13723701145816983 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.006478530294720058 0.13925521896091667 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.006760659457400014 0.14127342646366348 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.007050792902396136 0.1432916339664103 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.007349013849875163 0.14530968450792653 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.007655476113914471 0.14732789201067337 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
