Counter,mX[GeV],mA[GeV],Epsilon,Capture[s-1],Annihilation[s-1],GammaAnn[s-1],IceCubeSignal,LiveTime[s],SommerfeldFile,BranchingRatioFile,Resolution,Kappa0[GeV5]
0,100.0,0.01,1e-11,142961611782.60873,8.715336201326894e-48,1764040342.0639544,0.002233328973933882,315360000.0,testSomm.csv,brtoe.csv,200,5.851659530104901e+27
1, ,0.01,1.0718913192051263e-11,164255886846.01767,8.715336201326894e-48,2322966049.50351,0.0033788803702429196, , , , , 
2, ,0.01,1.1489510001873107e-11,188721965478.38647,8.715336201326894e-48,3057879078.4068713,0.0051102812820446215, , , , , 
3, ,0.01,1.2315506032928262e-11,216832290993.7065,8.715336201326894e-48,4023631447.448915,0.00772575543661396, , , , , 
4, ,0.01,1.3200884008314167e-11,249129677610.12408,8.715336201326894e-48,5291888889.377245,0.011674937683498416, , , , , 
5, ,0.01,1.4149912974345786e-11,286237792266.49554,8.715336201326894e-48,6956143334.319997,0.017632163069257006, , , , , 
6, ,0.01,1.5167168884709242e-11,328873197715.9965,8.715336201326894e-48,9138149627.50465,0.026613031846813743, , , , , 
7, ,0.01,1.6257556664437934e-11,377859189450.59186,8.715336201326894e-48,11996156763.923801,0.04014123509789716, , , , , 
8, ,0.01,1.7426333860096473e-11,434141693649.2225,8.715336201326894e-48,15735383410.397963,0.060494464269892675, , , , , 
9, ,0.01,1.8679135990207848e-11,498807533141.2893,8.715336201326894e-48,20621275742.38666,0.09108781072935691, , , , , 
10, ,0.01,2.0022003718155844e-11,573105414103.6472,8.715336201326894e-48,26996179104.220898,0.13701015882157833, , , , , 
11, ,0.01,2.1461411978584013e-11,658470038747.1456,8.715336201326894e-48,35300147132.167534,0.20583452353067264, , , , , 
12, ,0.01,2.300430119772921e-11,756549809611.9133,8.715336201326894e-48,46096691980.56993,0.3088289679714794, , , , , 
13, ,0.01,2.465811075822604e-11,869238660445.1241,8.715336201326894e-48,60104330894.52149,0.4626569316966935, , , , , 
14, ,0.01,2.643081486974103e-11,998712628319.8999,8.715336201326894e-48,78234784650.66466,0.691912256002751, , , , , 
15, ,0.01,2.8330961018393178e-11,1147471873207.842,8.715336201326894e-48,101638602113.57898,1.0327888033991197, , , , , 
16, ,0.01,3.036771118035461e-11,1318388956408.9631,8.715336201326894e-48,131758785374.45154,1.5382804149342175, , , , , 
17, ,0.01,3.255088599835057e-11,1514764310101.9775,8.715336201326894e-48,170392630739.26202,2.285610462693555, , , , , 
18, ,0.01,3.4891012134067674e-11,1740389969139.702,8.715336201326894e-48,219761443560.15588,3.3869508153395986, , , , , 
19, ,0.01,3.739937302478801e-11,1999622795759.0308,8.715336201326894e-48,282587004114.6902,5.003941258870346, , , , , 
20, ,0.01,4.0088063288984646e-11,2297468611184.6763,8.715336201326894e-48,362172661780.37555,7.3684407913904995, , , , , 
21, ,0.01,4.297004704320835e-11,2639678858719.5747,8.715336201326894e-48,462485771555.8643,10.81082578815274, , , , , 
22, ,0.01,4.605922041145113e-11,3032861664899.1675,8.715336201326894e-48,588236992236.5852,15.798443492455059, , , , , 
23, ,0.01,4.937047852839004e-11,3484609443315.638,8.715336201326894e-48,744950966756.6095,22.987427551966196, , , , , 
24, ,0.01,5.2919787359584366e-11,4003645505159.6343,8.715336201326894e-48,939022430688.1919,33.29211111496852, , , , , 
25, ,0.01,5.672426068491989e-11,4599992507548.611,8.715336201326894e-48,1177752249603.786,47.97560360855865, , , , , 
26, ,0.01,6.080224261649427e-11,5285165992402.093,8.715336201326894e-48,1469359684440.6082,68.76953312266878, , , , , 
27, ,0.01,6.517339604882421e-11,6072396753126.322,8.715336201326894e-48,1822970634528.8135,98.02767408582157, , , , , 
28, ,0.01,6.985879746785235e-11,6976886323038.639,8.715336201326894e-48,2248586760725.1206,138.92504969338518, , , , , 
29, ,0.01,7.48810385759003e-11,8016100519048.444,8.715336201326894e-48,2757046887476.9243,195.71127862497983, , , , , 
30, ,0.01,8.026433522257174e-11,9210106708962.695,8.715336201326894e-48,3359999068508.3457,274.0394067940783, , , , , 
31, ,0.01,8.603464416684492e-11,10581961315094.508,8.715336201326894e-48,4069907874818.122,381.38186913736524, , , , , 
32, ,0.01,9.221978823334341e-11,12158155036921.316,8.715336201326894e-48,4900125306483.493,527.5744254334203, , , , , 
33, ,0.01,9.884959046625586e-11,13969124390103.08,8.715336201326894e-48,5865053897754.88,725.5213352433684, , , , , 
34, ,0.01,1.0595601792776149e-10,16049839439749.834,8.715336201326894e-48,6980426367655.637,992.113454609675, , , , , 
35, ,0.01,1.1357333583431027e-10,18440479077146.24,8.715336201326894e-48,8263717844377.858,1349.4490780951298, , , , , 
36, ,0.01,1.217382727739662e-10,21187206879620.44,8.715336201326894e-48,9734695617780.84,1826.4375368978374, , , , , 
37, ,0.01,1.3049019780144016e-10,24343062535515.28,8.715336201326894e-48,11416099726664.568,2460.9429654699024, , , , , 
38, ,0.01,1.398713102647236e-10,27968986047802.434,8.715336201326894e-48,13334437919220.83,3302.6311297499283, , , , , 
39, ,0.01,1.4992684327860468e-10,32134994493847.66,8.715336201326894e-48,15520872727819.322,4416.750591892764, , , , , 
40, ,0.01,1.6070528182616384e-10,36921534064719.85,8.715336201326894e-48,18012177803570.582,5889.173787929322, , , , , 
41, ,0.01,1.722585965398784e-10,42421033492109.586,8.715336201326894e-48,20851745432142.555,7833.067869017054, , , , , 
42, ,0.01,1.8464249428955463e-10,48739688859738.91,8.715336201326894e-48,24090636531647.707,10397.745006738525, , , , , 
43, ,0.01,1.9791668678535569e-10,55999514264215.13,8.715336201326894e-48,27788677036732.07,13780.345129763788, , , , , 
44, ,0.01,2.121451784910628e-10,64340697923873.33,8.715336201326894e-48,32015618773659.965,18241.286448677754, , , , , 
45, ,0.01,2.273965752357932e-10,73924309232384.16,8.715336201326894e-48,36852397125677.28,24124.624915649976, , , , , 
46, ,0.01,2.4374441501222216e-10,84935409030703.52,8.715336201326894e-48,42392530543720.695,31884.92964632142, , , , , 
47, ,0.01,2.6126752255633265e-10,97586623157144.78,8.715336201326894e-48,48743717100462.36,42122.67236144876, , , , , 
48, ,0.01,2.8005038941836253e-10,112122248281303.23,8.715336201326894e-48,56029690016471.33,55630.969143975744, , , , , 
49, ,0.01,3.0018358135755917e-10,128822969306053.84,8.715336201326894e-48,64392397165557.67,73457.1675265271, , , , , 
50, ,0.01,3.2176417502507347e-10,148011279431289.2,8.715336201326894e-48,73994569504970.73,96984.08405949407, , , , , 
51, ,0.01,3.4489622604057533e-10,170057707541582.7,8.715336201326894e-48,85022741514043.97,128037.36037594186, , , , , 
52, ,0.01,3.696912707195032e-10,195387973169463.38,8.715336201326894e-48,97690785052575.23,169027.01311695194, , , , , 
53, ,0.01,3.9626886387014783e-10,224491207197625.5,8.715336201326894e-48,112244018765054.95,223134.41113952163, , , , , 
54, ,0.01,4.2475715525368935e-10,257929397042967.56,8.715336201326894e-48,128963960076518.52,294559.09890807, , , , , 
55, ,0.01,4.552935074866938e-10,296348238710226.5,8.715336201326894e-48,148173796897718.75,388844.6292266466, , , , , 
