Counter,mX[GeV],mA[GeV],Epsilon,Capture[s-1],Annihilation[s-1],GammaAnn[s-1],IceCubeSignal,LiveTime[s],SommerfeldFile,BranchingRatioFile,Resolution,Kappa0[GeV5]
79, ,0.01,2.409403560239527e-09,None,None,None,None, , , , , 
80, ,0.01,2.582618760682675e-09,None,None,None,None, , , , , 
81, ,0.01,2.768286630392061e-09,None,None,None,None, , , , , 
82, ,0.01,2.9673024081888724e-09,None,None,None,None, , , , , 
83, ,0.01,3.180625692794119e-09,None,None,None,None, , , , , 
84, ,0.01,3.409285069746807e-09,None,None,None,None, , , , , 
85, ,0.01,3.654383070957262e-09,None,None,None,None, , , , , 
86, ,0.01,3.917101490809261e-09,None,None,None,None, , , , , 
87, ,0.01,4.198707084443906e-09,None,None,None,None, , , , , 
88, ,0.01,4.500557675700488e-09,None,None,None,None, , , , , 
89, ,0.01,4.824108704165374e-09,None,None,None,None, , , , , 
90, ,0.01,5.170920242896755e-09,None,None,None,None, , , , , 
91, ,0.01,5.542664520663096e-09,None,None,None,None, , , , , 
92, ,0.01,5.941133984965041e-09,None,None,None,None, , , , , 
93, ,0.01,6.3682499447185856e-09,None,None,None,None, , , , , 
94, ,0.01,6.826071834272379e-09,None,None,None,None, , , , , 
95, ,0.01,7.3168071434271765e-09,None,None,None,None, , , , , 
96, ,0.01,7.842822061337681e-09,None,None,None,None, , , , , 
97, ,0.01,8.406652885618316e-09,None,None,None,None, , , , , 
98, ,0.01,9.011018251665036e-09,None,None,None,None, , , , , 
99, ,0.01,9.658832241158707e-09,None,None,None,None, , , , , 
100, ,0.01,1.0353218432956616e-08,None,None,None,None, , , , , 
101, ,0.01,1.1097524964120722e-08,None,None,None,None, , , , , 
102, ,0.01,1.1895340673703208e-08,None,None,None,None, , , , , 
103, ,0.01,1.2750512407130128e-08,None,None,None,None, , , , , 
104, ,0.01,1.3667163564620044e-08,None,None,None,None, , , , , 
105, ,0.01,1.4649713983072851e-08,None,None,None,None, , , , , 
106, ,0.01,1.5702901247293774e-08,None,None,None,None, , , , , 
107, ,0.01,1.683180353330955e-08,None,None,None,None, , , , , 
108, ,0.01,1.804186409392072e-08,None,None,None,None, , , , , 
109, ,0.01,1.933891750455232e-08,None,None,None,None, , , , , 
110, ,0.01,2.0729217795953697e-08,None,None,None,None, , , , , 
111, ,0.01,2.221946860939524e-08,None,None,None,None, , , , , 
112, ,0.01,2.3816855519761606e-08,None,None,None,None, , , , , 
113, ,0.01,2.5529080682395162e-08,None,None,None,None, , , , , 
114, ,0.01,2.7364399970746666e-08,None,None,None,None, , , , , 
115, ,0.01,2.933166278390042e-08,None,None,None,None, , , , , 
116, ,0.01,3.1440354715915e-08,None,None,None,None, , , , , 
117, ,0.01,3.370064329271925e-08,None,None,None,None, , , , , 
118, ,0.01,3.612342699709431e-08,None,None,None,None, , , , , 
119, ,0.01,3.8720387818125565e-08,None,None,None,None, , , , , 
120, ,0.01,4.1504047578504727e-08,None,None,None,None, , , , , 
121, ,0.01,4.448782831127585e-08,None,None,None,None, , , , , 
122, ,0.01,4.768611697714474e-08,None,None,None,None, , , , , 
123, ,0.01,5.111433483440165e-08,None,None,None,None, , , , , 
124, ,0.01,5.478901179593934e-08,None,None,None,None, , , , , 
125, ,0.01,5.872786613189478e-08,None,None,None,None, , , , , 
126, ,0.01,6.294988990221888e-08,None,None,None,None, , , , , 
127, ,0.01,6.747544053110687e-08,None,None,None,None, , , , , 
128, ,0.01,7.232633896483534e-08,None,None,None,None, , , , , 
129, ,0.01,7.752597488629465e-08,None,None,None,None, , , , , 
130, ,0.01,8.309941949353386e-08,None,None,None,None, , , , , 
131, ,0.01,8.907354638610439e-08,None,None,None,None, , , , , 
132, ,0.01,9.547716114208066e-08,None,None,None,None, , , , , 
133, ,0.01,1.0234114021054528e-07,None,None,None,None, , , , , 
134, ,0.01,1.0969857978923841e-07,None,None,None,None, , , , , 
135, ,0.01,1.1758495540521555e-07,None,None,None,None, , , , , 
136, ,0.01,1.2603829296797277e-07,None,None,None,None, , , , , 
137, ,0.01,1.350993521198025e-07,None,None,None,None, , , , , 
138, ,0.01,1.4481182276745328e-07,None,None,None,None, , , , , 
139, ,0.01,1.552225357427048e-07,None,None,None,None, , , , , 
140, ,0.01,1.6638168860761273e-07,None,None,None,None, , , , , 
141, ,0.01,1.7834308769319093e-07,None,None,None,None, , , , , 
142, ,0.01,1.9116440753857e-07,None,None,None,None, , , , , 
143, ,0.01,2.049074689815846e-07,None,None,None,None, , , , , 
144, ,0.01,2.1963853724165468e-07,None,None,None,None, , , , , 
