Counter,mX[GeV],mA[GeV],ThermAvgSommerfeld,Kappa0[GeV5]
0,100.0,0.01,221.8249442032345,5.851659530104901e+27
1, ,0.01002768031739658,218.97734704240366, 
2, ,0.010055437254790278,216.34968992357645, 
3, ,0.010083271024267678,213.93252713607896, 
4, ,0.010111181838502424,211.71730330211477, 
5, ,0.010139169910756848,209.696287663019, 
6, ,0.010167235454883608,207.86251586791437, 
7, ,0.010195378685327302,206.20973849439753, 
8, ,0.01022359981712612,204.73237563505995, 
9, ,0.010251899065913488,203.42547697439522, 
10, ,0.010280276647919707,202.28468686002222, 
11, ,0.010308732779973613,201.30621394197448, 
12, ,0.010337267679504231,200.48680501557877, 
13, ,0.010365881564542438,199.8237227584665, 
14, ,0.010394574653722628,199.31472710165076, 
15, ,0.010423347166284376,198.9580600193386, 
16, ,0.010452199322074123,198.75243356307288, 
17, ,0.010481131341546858,198.69702100368377, 
18, ,0.010510143445767785,198.79145098004926, 
19, ,0.010539235856414027,199.03580458744344, 
20, ,0.010568408795776323,199.4306153708768, 
21, ,0.010597662486760707,199.97687222085278, 
22, ,0.010626997152890243,200.67602520092402, 
23, ,0.0106564130183067,201.52999436886273, 
24, ,0.010685910307772278,202.54118168672082, 
25, ,0.010715489246671327,203.71248615010256, 
26, ,0.01074515006101208,205.0473223042412, 
27, ,0.010774892977428351,206.54964235460187, 
28, ,0.01080471822318129,208.22396212347758, 
29, ,0.010834626026161113,210.07539115222835, 
30, ,0.01086461661488885,212.10966730235944, 
31, ,0.010894690218518079,214.33319626862593, 
32, ,0.01092484706683668,216.75309648506084, 
33, ,0.010955087390268592,219.37724998163128, 
34, ,0.010985411419875584,222.21435983693158, 
35, ,0.011015819387359,225.27401497284296, 
36, ,0.011046311525061551,228.56676315287046, 
37, ,0.011076888065969064,232.10419317970027, 
38, ,0.011107549243712309,235.89902744281488, 
39, ,0.011138295292568715,239.96522614778428, 
40, ,0.01116912644746423,244.31810477005482, 
41, ,0.011200042943975063,248.9744665234675, 
42, ,0.011231045018329522,253.95275192467773, 
43, ,0.011262132907409786,259.2732078775473, 
44, ,0.011293306848753744,264.9580791072979, 
45, ,0.011324567080556784,271.0318252554752, 
46, ,0.011355913841673651,277.5213675196975, 
47, ,0.011387347371620228,284.4563694062052, 
48, ,0.011418867910575385,291.8695569829275, 
49, ,0.011450475699382815,299.797085006105, 
50, ,0.011482170979552892,308.2789564823309, 
51, ,0.011513953993264476,317.3595046673715, 
52, ,0.011545824983366794,327.0879482527162, 
53, ,0.011577784193381284,337.51903262564673, 
54, ,0.011609831867503471,348.7137727040602, 
55, ,0.011641968250604815,360.74031606517667, 
56, ,0.011674193588234582,373.67494906363135, 
57, ,0.011706508126621726,387.603273570708, 
58, ,0.01173891211267678,402.6215881235323, 
59, ,0.011771405793993724,418.83851499120703, 
60, ,0.011803989418851895,436.37692439049516, 
61, ,0.011836663236217857,455.3762194055191, 
62, ,0.011869427495747351,475.9950608671165, 
63, ,0.01190228244778715,498.41463157373414, 
64, ,0.011935228343377,522.8425651984548, 
65, ,0.011968265434251531,549.5176989387616, 
66, ,0.012001393972842193,578.715853047161, 
67, ,0.012034614212279159,610.7568984446083, 
68, ,0.012067926406393287,646.0134506952364, 
69, ,0.012101330809718036,684.9216317760157, 
70, ,0.012134827677491435,727.994480335245, 
71, ,0.012168417265658014,775.8387808712885, 
72, ,0.012202099830870759,829.1763433136334, 
73, ,0.012235875630493085,888.8711274062426, 
74, ,0.012269744922600795,955.9641164569122, 
75, ,0.012303707965984064,1031.7185707134533, 
76, ,0.012337765020149391,1117.6793360996796, 
77, ,0.0123719163453216,1215.7514108570715, 
78, ,0.012406162202445843,1328.3052353263024, 
79, ,0.01244050285318956,1458.3195767995403, 
80, ,0.012474938559944495,1609.57809901858, 
81, ,0.012509469585828705,1786.943846984467, 
82, ,0.012544096194688563,1996.7488398215678, 
83, ,0.012578818651100786,2247.3570635910346, 
84, ,0.012613637220374436,2549.994343020598, 
85, ,0.012648552168552958,2919.9988403970738, 
86, ,0.012683563762416231,3378.752254718269, 
87, ,0.012718672269482577,3956.7456280598635, 
88, ,0.012753877958010813,4698.600232148334, 
89, ,0.012789181097002313,5671.586395867613, 
90, ,0.012824581956203049,6980.674614769345, 
91, ,0.012860080806105664,8796.40028289578, 
92, ,0.012895677917951532,11409.334826297909, 
93, ,0.012931373563732822,15343.59486590987, 
94, ,0.01296716801619461,21612.00465795883, 
95, ,0.013003061548836913,32344.22550070069, 
96, ,0.01303905443591682,52512.66327871514, 
97, ,0.013075146952450569,95355.94027674609, 
98, ,0.013111339374215644,202479.78790394406, 
99, ,0.0131476319777529,186230.64624734316, 
100, ,0.013184025040368664,89240.55091016715, 
101, ,0.013220518840136844,49671.07349074747, 
102, ,0.013257113655901088,30792.20388872607, 
103, ,0.013293809767276876,20653.32353879577, 
104, ,0.013330607454653674,14693.328894564082, 
105, ,0.013367506999197077,10935.623155400315, 
106, ,0.013404508682850957,8431.861308094976, 
107, ,0.01344161278833961,6687.98076158546, 
108, ,0.013478819599169923,5428.636710521756, 
109, ,0.013516129399633552,4491.563247971173, 
110, ,0.013553542474809057,3776.5515413144385, 
111, ,0.013591059110564132,3219.2129195116972, 
112, ,0.01362867959355774,2776.7460910252416, 
113, ,0.013666404211242338,2419.852725727737, 
114, ,0.013704233251866052,2127.958347988639, 
115, ,0.013742167004474894,1886.2867888794271, 
116, ,0.013780205758914962,1684.013378420339, 
117, ,0.01381834980583465,1513.0668957715038, 
118, ,0.013856599436686896,1367.3332507835134, 
119, ,0.013894954943731374,1242.1145203640456, 
120, ,0.013933416620036741,1133.7541609575576, 
121, ,0.01397198475948288,1039.3726870605922, 
122, ,0.014010659656763149,956.6782141005602, 
123, ,0.014049441607386614,883.8286391001976, 
124, ,0.014088330907680332,819.3300171164117, 
125, ,0.014127327854791597,761.9606875541739, 
126, ,0.01416643274669021,710.713970587659, 
127, ,0.014205645882170775,664.7544256854288, 
128, ,0.014244967560854969,623.3841311755591, 
129, ,0.014284398083193813,586.016449175989, 
130, ,0.014323937750470004,552.1554386630615, 
131, ,0.014363586864800191,521.379570823316, 
132, ,0.01440334572913729,493.32875061819243, 
133, ,0.014443214647272802,467.69390024718325, 
134, ,0.01448319392383915,444.2085432778237, 
135, ,0.01452328386431196,422.6419626529902, 
136, ,0.014563484775012438,402.79360541672827, 
137, ,0.014603796963109697,384.48848147323713, 
138, ,0.014644220736623106,367.5733598164988, 
139, ,0.014684756404424638,351.91360828993686, 
140, ,0.01472540427624123,337.39055554098366, 
141, ,0.014766164662657162,323.89927895199247, 
142, ,0.01480703787511641,311.3467418042364, 
143, ,0.014848024225925047,299.65021812767674, 
144, ,0.014889124028253618,288.7359556170413, 
145, ,0.014930337596139532,278.53803641049313, 
146, ,0.014971665244489453,268.99740300047415, 
147, ,0.015013107289081737,260.0610225086838, 
148, ,0.015054664046568803,251.68116733755815, 
149, ,0.015096335834479587,243.81479406177903, 
