Counter,mX[GeV],mA[GeV],Epsilon,Capture,Annihilation,GammaAnn,IceCubeSignal,SommerfeldFile,BranchingRatioFile,Resolution,Kappa0
0,100,0.01,1.00E-10,2.03E+13,5.24E-48,8.22E+12,1040.229875,100GeVSommerfeld.csv,brtoe.csv,200,5.89E+27
1, ,0.01,1.06E-10,2.28E+13,5.24E-48,9.55E+12,1356.772053, ,,,
2, ,0.01,1.12E-10,2.56E+13,5.24E-48,1.10E+13,1762.663152, ,,,
3, ,0.01,1.19E-10,2.88E+13,5.24E-48,1.27E+13,2281.354974, ,,,
4, ,0.01,1.26E-10,3.23E+13,5.24E-48,1.46E+13,2942.179371, ,,,
5, ,0.01,1.34E-10,3.63E+13,5.24E-48,1.68E+13,3781.851993, ,,,
6, ,0.01,1.41E-10,4.07E+13,5.24E-48,1.91E+13,4846.354214, ,,,
7, ,0.01,1.50E-10,4.57E+13,5.24E-48,2.18E+13,6193.351214, ,,,
8, ,0.01,1.59E-10,5.13E+13,5.24E-48,2.47E+13,7895.240295, ,,,
9, ,0.01,1.68E-10,5.76E+13,5.24E-48,2.80E+13,10043.01432, ,,,
10, ,0.01,1.78E-10,6.47E+13,5.24E-48,3.17E+13,12751.16718, ,,,
11, ,0.01,1.89E-10,7.26E+13,5.24E-48,3.58E+13,16163.88735, ,,,
12, ,0.01,2.00E-10,8.16E+13,5.24E-48,4.03E+13,20462.85383, ,,,
13, ,0.01,2.12E-10,9.16E+13,5.24E-48,4.54E+13,25877.13648, ,,,
14, ,0.01,2.25E-10,1.03E+14,5.24E-48,5.11E+13,32695.60432, ,,,
15, ,0.01,2.38E-10,1.15E+14,5.24E-48,5.75E+13,41282.59575, ,,,
16, ,0.01,2.52E-10,1.30E+14,5.24E-48,6.46E+13,52097.64824, ,,,
17, ,0.01,2.67E-10,1.45E+14,5.24E-48,7.26E+13,65720.32029, ,,,
18, ,0.01,2.83E-10,1.63E+14,5.24E-48,8.16E+13,82881.47778, ,,,
19, ,0.01,3.00E-10,1.83E+14,5.24E-48,9.16E+13,104502.6493, ,,,
20, ,0.01,3.18E-10,2.06E+14,5.24E-48,1.03E+14,131745.6507, ,,,
21, ,0.01,3.37E-10,2.31E+14,5.24E-48,1.16E+14,166075.0776, ,,,
22, ,0.01,3.57E-10,2.59E+14,5.24E-48,1.30E+14,209337.0308, ,,,
23, ,0.01,3.78E-10,2.91E+14,5.24E-48,1.46E+14,263858.4439, ,,,
24, ,0.01,4.01E-10,3.27E+14,5.24E-48,1.63E+14,332572.0367, ,,,
25, ,0.01,4.25E-10,3.67E+14,5.24E-48,1.84E+14,419174.127, ,,,
26, ,0.01,4.50E-10,4.12E+14,5.24E-48,2.06E+14,528323.3426, ,,,
27, ,0.01,4.77E-10,4.63E+14,5.24E-48,2.31E+14,665891.1484, ,,,
28, ,0.01,5.05E-10,5.19E+14,5.24E-48,2.60E+14,839277.6291, ,,,
29, ,0.01,5.35E-10,5.83E+14,5.24E-48,2.92E+14,1057809.535, ,,,
30, ,0.01,5.67E-10,6.55E+14,5.24E-48,3.27E+14,1333241.971, ,,,
31, ,0.01,6.01E-10,7.35E+14,5.24E-48,3.67E+14,1680390.572, ,,,
32, ,0.01,6.37E-10,8.25E+14,5.24E-48,4.13E+14,2117928.458, ,,,
33, ,0.01,6.75E-10,9.26E+14,5.24E-48,4.63E+14,2669390.677, ,,,
34, ,0.01,7.15E-10,1.04E+15,5.24E-48,5.20E+14,3364439.952, ,,,
35, ,0.01,7.58E-10,1.17E+15,5.24E-48,5.84E+14,4240462.227, ,,,
36, ,0.01,8.03E-10,1.31E+15,5.24E-48,6.55E+14,5344577.187, ,,,
37, ,0.01,8.50E-10,1.47E+15,5.24E-48,7.36E+14,6736172.817, ,,,
38, ,0.01,9.01E-10,1.65E+15,5.24E-48,8.26E+14,8490099.061, ,,,
39, ,0.01,9.55E-10,1.85E+15,5.24E-48,9.27E+14,10700693.75, ,,,
40, ,0.01,1.01E-09,2.08E+15,5.24E-48,1.04E+15,13486855.19, ,,,
41, ,0.01,1.07E-09,2.34E+15,5.24E-48,1.17E+15,16998437.58, ,,,
42, ,0.01,1.14E-09,2.62E+15,5.24E-48,1.31E+15,21424307.49, ,,,
43, ,0.01,1.20E-09,2.95E+15,5.24E-48,1.47E+15,27002501.67, ,,,
44, ,0.01,1.28E-09,3.31E+15,5.24E-48,1.65E+15,34033025.78, ,,,
45, ,0.01,1.35E-09,3.71E+15,5.24E-48,1.86E+15,42893984.51, ,,,
46, ,0.01,1.43E-09,4.17E+15,5.24E-48,2.08E+15,54061911.86, ,,,
47, ,0.01,1.52E-09,4.68E+15,5.24E-48,2.34E+15,68137389.14, ,,,
48, ,0.01,1.61E-09,5.25E+15,5.24E-48,2.63E+15,85877332.3, ,,,
49, ,0.01,1.70E-09,5.90E+15,5.24E-48,2.95E+15,108235677.3, ,,,
50, ,0.01,1.80E-09,6.62E+15,5.24E-48,3.31E+15,136414655.9, ,,,
51, ,0.01,1.91E-09,7.43E+15,5.24E-48,3.72E+15,171929406.8, ,,,
52, ,0.01,2.03E-09,8.35E+15,5.24E-48,4.17E+15,216689393.2, ,,,
53, ,0.01,2.15E-09,9.37E+15,5.24E-48,4.69E+15,273101006.3, ,,,
54, ,0.01,2.27E-09,1.05E+16,5.24E-48,5.26E+15,344196839.5, ,,,
55, ,0.01,2.41E-09,1.18E+16,5.24E-48,5.91E+15,433798587.6, ,,,
56, ,0.01,2.55E-09,1.33E+16,5.24E-48,6.63E+15,546722290.6, ,,,
57, ,0.01,2.70E-09,1.49E+16,5.24E-48,7.44E+15,689036932.4, ,,,
58, ,0.01,2.87E-09,1.67E+16,5.24E-48,8.36E+15,868390241.6, ,,,
59, ,0.01,3.04E-09,1.88E+16,5.24E-48,9.38E+15,1094419137, ,,,
60, ,0.01,3.22E-09,2.11E+16,5.24E-48,1.05E+16,1379266792, ,,,
61, ,0.01,3.41E-09,2.36E+16,5.24E-48,1.18E+16,1738233962, ,,,
62, ,0.01,3.61E-09,2.65E+16,5.24E-48,1.33E+16,2190599382, ,,,
63, ,0.01,3.83E-09,2.98E+16,5.24E-48,1.49E+16,2760653053, ,,,
64, ,0.01,4.06E-09,3.35E+16,5.24E-48,1.67E+16,3478997511, ,,,
65, ,0.01,4.30E-09,3.76E+16,5.24E-48,1.88E+16,4384186483, ,,,
66, ,0.01,4.55E-09,4.22E+16,5.24E-48,2.11E+16,5524788103, ,,,
67, ,0.01,4.82E-09,4.73E+16,5.24E-48,2.37E+16,6961982407, ,,,
68, ,0.01,5.11E-09,5.32E+16,5.24E-48,2.66E+16,8772831019, ,,,
69, ,0.01,5.42E-09,5.97E+16,5.24E-48,2.98E+16,11054392252, ,,,
70, ,0.01,5.74E-09,6.70E+16,5.24E-48,3.35E+16,13928899426, ,,,
71, ,0.01,6.08E-09,7.52E+16,5.24E-48,3.76E+16,17550275680, ,,,
72, ,0.01,6.44E-09,8.44E+16,5.24E-48,4.22E+16,22112328476, ,,,
73, ,0.01,6.83E-09,9.48E+16,5.24E-48,4.74E+16,27859054229, ,,,
74, ,0.01,7.23E-09,1.06E+17,5.24E-48,5.32E+16,35097592758, ,,,
75, ,0.01,7.66E-09,1.19E+17,5.24E-48,5.97E+16,44214507861, ,,,
76, ,0.01,8.12E-09,1.34E+17,5.24E-48,6.71E+16,55696240422, ,,,
77, ,0.01,8.60E-09,1.51E+17,5.24E-48,7.53E+16,70154793500, ,,,
78, ,0.01,9.12E-09,1.69E+17,5.24E-48,8.45E+16,88359972589, ,,,
79, ,0.01,9.66E-09,1.90E+17,5.24E-48,9.49E+16,1.1128E+11, ,,,
80, ,0.01,1.02E-08,2.13E+17,5.24E-48,1.07E+17,1.40131E+11, ,,,
81, ,0.01,1.08E-08,2.39E+17,5.24E-48,1.20E+17,1.76444E+11, ,,,
82, ,0.01,1.15E-08,2.69E+17,5.24E-48,1.34E+17,2.2214E+11, ,,,
83, ,0.01,1.22E-08,3.02E+17,5.24E-48,1.51E+17,2.79632E+11, ,,,
84, ,0.01,1.29E-08,3.38E+17,5.24E-48,1.69E+17,3.51949E+11, ,,,
85, ,0.01,1.37E-08,3.80E+17,5.24E-48,1.90E+17,4.42892E+11, ,,,
86, ,0.01,1.45E-08,4.27E+17,5.24E-48,2.13E+17,5.57228E+11, ,,,
87, ,0.01,1.53E-08,4.79E+17,5.24E-48,2.39E+17,7.00928E+11, ,,,
88, ,0.01,1.63E-08,5.38E+17,5.24E-48,2.69E+17,8.81471E+11, ,,,
89, ,0.01,1.72E-08,6.04E+17,5.24E-48,3.02E+17,1.11E+12, ,,,
90, ,0.01,1.83E-08,6.78E+17,5.24E-48,3.39E+17,1.39E+12, ,,,
91, ,0.01,1.93E-08,7.61E+17,5.24E-48,3.80E+17,1.75E+12, ,,,
92, ,0.01,2.05E-08,8.54E+17,5.24E-48,4.27E+17,2.20E+12, ,,,
93, ,0.01,2.17E-08,9.59E+17,5.24E-48,4.79E+17,2.76E+12, ,,,
94, ,0.01,2.30E-08,1.08E+18,5.24E-48,5.38E+17,3.46E+12, ,,,
95, ,0.01,2.44E-08,1.21E+18,5.24E-48,6.04E+17,4.34E+12, ,,,
96, ,0.01,2.58E-08,1.36E+18,5.24E-48,6.78E+17,5.44E+12, ,,,
97, ,0.01,2.74E-08,1.52E+18,5.24E-48,7.62E+17,6.82E+12, ,,,
98, ,0.01,2.90E-08,1.71E+18,5.24E-48,8.55E+17,8.53E+12, ,,,
99, ,0.01,3.07E-08,1.92E+18,5.24E-48,9.60E+17,1.07E+13, ,,,
100, ,0.01,3.26E-08,2.16E+18,5.24E-48,1.08E+18,1.33E+13, ,,,
101, ,0.01,3.45E-08,2.42E+18,5.24E-48,1.21E+18,1.66E+13, ,,,
102, ,0.01,3.65E-08,2.72E+18,5.24E-48,1.36E+18,2.07E+13, ,,,
103, ,0.01,3.87E-08,3.05E+18,5.24E-48,1.53E+18,2.58E+13, ,,,
104, ,0.01,4.10E-08,3.42E+18,5.24E-48,1.71E+18,3.20E+13, ,,,
105, ,0.01,4.35E-08,3.84E+18,5.24E-48,1.92E+18,3.97E+13, ,,,
106, ,0.01,4.61E-08,4.32E+18,5.24E-48,2.16E+18,4.92E+13, ,,,
107, ,0.01,4.88E-08,4.85E+18,5.24E-48,2.42E+18,6.08E+13, ,,,
108, ,0.01,5.17E-08,5.44E+18,5.24E-48,2.72E+18,7.49E+13, ,,,
109, ,0.01,5.48E-08,6.11E+18,5.24E-48,3.05E+18,9.20E+13, ,,,
110, ,0.01,5.81E-08,6.86E+18,5.24E-48,3.43E+18,1.13E+14, ,,,
111, ,0.01,6.15E-08,7.70E+18,5.24E-48,3.85E+18,1.38E+14, ,,,
112, ,0.01,6.52E-08,8.64E+18,5.24E-48,4.32E+18,1.67E+14, ,,,
113, ,0.01,6.91E-08,9.70E+18,5.24E-48,4.85E+18,2.03E+14, ,,,
114, ,0.01,7.32E-08,1.09E+19,5.24E-48,5.45E+18,2.44E+14, ,,,
115, ,0.01,7.75E-08,1.22E+19,5.24E-48,6.11E+18,2.93E+14, ,,,
116, ,0.01,8.21E-08,1.37E+19,5.24E-48,6.86E+18,3.48E+14, ,,,
117, ,0.01,8.70E-08,1.54E+19,5.24E-48,7.71E+18,4.12E+14, ,,,
118, ,0.01,9.22E-08,1.73E+19,5.24E-48,8.65E+18,4.83E+14, ,,,
119, ,0.01,9.77E-08,1.94E+19,5.24E-48,9.71E+18,5.62E+14, ,,,
120, ,0.01,1.04E-07,2.18E+19,5.24E-48,1.09E+19,6.47E+14, ,,,
121, ,0.01,1.10E-07,2.45E+19,5.24E-48,1.22E+19,7.37E+14, ,,,
122, ,0.01,1.16E-07,2.75E+19,5.24E-48,1.37E+19,8.29E+14, ,,,
123, ,0.01,1.23E-07,3.09E+19,5.24E-48,1.54E+19,9.19E+14, ,,,
124, ,0.01,1.30E-07,3.46E+19,5.24E-48,1.73E+19,1.00E+15, ,,,
125, ,0.01,1.38E-07,3.89E+19,5.24E-48,1.94E+19,1.08E+15, ,,,
126, ,0.01,1.46E-07,4.37E+19,5.24E-48,2.18E+19,1.13E+15, ,,,
127, ,0.01,1.55E-07,4.90E+19,5.24E-48,2.45E+19,1.16E+15, ,,,
128, ,0.01,1.64E-07,5.50E+19,5.24E-48,2.75E+19,1.17E+15, ,,,
129, ,0.01,1.74E-07,6.18E+19,5.24E-48,3.09E+19,1.14E+15, ,,,
130, ,0.01,1.85E-07,6.94E+19,5.24E-48,3.47E+19,1.08E+15, ,,,
131, ,0.01,1.96E-07,7.79E+19,5.24E-48,3.89E+19,9.84E+14, ,,,
132, ,0.01,2.07E-07,8.74E+19,5.24E-48,4.37E+19,8.63E+14, ,,,
133, ,0.01,2.20E-07,9.81E+19,5.24E-48,4.91E+19,7.24E+14, ,,,
134, ,0.01,2.33E-07,1.10E+20,5.24E-48,5.51E+19,5.78E+14, ,,,
135, ,0.01,2.47E-07,1.24E+20,5.24E-48,6.18E+19,4.37E+14, ,,,
136, ,0.01,2.61E-07,1.39E+20,5.24E-48,6.94E+19,3.09E+14, ,,,
137, ,0.01,2.77E-07,1.56E+20,5.24E-48,7.80E+19,2.04E+14, ,,,
138, ,0.01,2.93E-07,1.75E+20,5.24E-48,8.75E+19,1.25E+14, ,,,
139, ,0.01,3.11E-07,1.97E+20,5.24E-48,9.83E+19,6.96E+13, ,,,
140, ,0.01,3.29E-07,2.21E+20,5.24E-48,1.10E+20,3.52E+13, ,,,
141, ,0.01,3.49E-07,2.48E+20,5.24E-48,1.24E+20,1.59E+13, ,,,
142, ,0.01,3.70E-07,2.78E+20,5.24E-48,1.39E+20,6.32E+12, ,,,
143, ,0.01,3.92E-07,3.12E+20,5.24E-48,1.56E+20,2.19E+12, ,,,
144, ,0.01,4.15E-07,3.50E+20,5.24E-48,1.75E+20,6.44655E+11, ,,,
145, ,0.01,4.40E-07,3.93E+20,5.24E-48,1.97E+20,1.59105E+11, ,,,
146, ,0.01,4.66E-07,4.42E+20,5.24E-48,2.21E+20,32149448894, ,,,
147, ,0.01,4.94E-07,4.96E+20,5.24E-48,2.48E+20,5189681491, ,,,
148, ,0.01,5.23E-07,5.57E+20,5.24E-48,2.78E+20,651062313.8, ,,,
149, ,0.01,5.54E-07,6.25E+20,5.24E-48,3.13E+20,61544432.56, ,,,
150, ,0.01,5.87E-07,7.02E+20,5.24E-48,3.51E+20,4234104.396, ,,,
151, ,0.01,6.22E-07,7.88E+20,5.24E-48,3.94E+20,203898.2895, ,,,
152, ,0.01,6.59E-07,8.84E+20,5.24E-48,4.42E+20,6578.714665, ,,,
153, ,0.01,6.99E-07,9.93E+20,5.24E-48,4.96E+20,135.3969964, ,,,
154, ,0.01,7.40E-07,1.11E+21,5.24E-48,5.57E+20,1.682152941, ,,,
155, ,0.01,7.84E-07,1.25E+21,5.24E-48,6.26E+20,0.011858239, ,,,
156, ,0.01,8.31E-07,1.40E+21,5.24E-48,7.02E+20,4.42E-05, ,,,
157, ,0.01,8.80E-07,1.58E+21,5.24E-48,7.89E+20,8.08E-08, ,,,
158, ,0.01,9.33E-07,1.77E+21,5.24E-48,8.85E+20,6.62E-11, ,,,
159, ,0.01,9.88E-07,1.99E+21,5.24E-48,9.94E+20,2.21E-14, ,,,
160, ,0.01,1.05E-06,2.23E+21,5.24E-48,1.12E+21,2.67E-18, ,,,
161, ,0.01,1.11E-06,2.51E+21,5.24E-48,1.25E+21,1.04E-22, ,,,
162, ,0.01,1.18E-06,2.81E+21,5.24E-48,1.41E+21,1.14E-27, ,,,
163, ,0.01,1.25E-06,3.16E+21,5.24E-48,1.58E+21,2.97E-33, ,,,
164, ,0.01,1.32E-06,3.55E+21,5.24E-48,1.77E+21,1.55E-39, ,,,
165, ,0.01,1.40E-06,3.98E+21,5.24E-48,1.99E+21,1.34E-46, ,,,
166, ,0.01,1.48E-06,4.47E+21,5.24E-48,2.23E+21,1.54E-54, ,,,
167, ,0.01,1.57E-06,5.02E+21,5.24E-48,2.51E+21,1.81E-63, ,,,
168, ,0.01,1.66E-06,5.63E+21,5.24E-48,2.82E+21,1.66E-73, ,,,
169, ,0.01,1.76E-06,6.32E+21,5.24E-48,3.16E+21,8.74E-85, ,,,
170, ,0.01,1.87E-06,7.10E+21,5.24E-48,3.55E+21,1.84E-97, ,,,
171, ,0.01,1.98E-06,7.97E+21,5.24E-48,3.98E+21,1.05E-111, ,,,
172, ,0.01,2.10E-06,8.95E+21,5.24E-48,4.47E+21,1.05E-127, ,,,
173, ,0.01,2.22E-06,1.00E+22,5.24E-48,5.02E+21,1.10E-145, ,,,
174, ,0.01,2.35E-06,1.13E+22,5.24E-48,5.64E+21,7.03E-166, ,,,
175, ,0.01,2.49E-06,1.27E+22,5.24E-48,6.33E+21,1.45E-188, ,,,
176, ,0.01,2.64E-06,1.42E+22,5.24E-48,7.11E+21,4.80E-214, ,,,
177, ,0.01,2.80E-06,1.60E+22,5.24E-48,7.98E+21,1.16E-242, ,,,
178, ,0.01,2.97E-06,1.79E+22,5.24E-48,8.96E+21,8.37E-275, ,,,
179, ,0.01,3.14E-06,2.01E+22,5.24E-48,1.01E+22,0, ,,,
180, ,0.01,3.33E-06,2.26E+22,5.24E-48,1.13E+22,0, ,,,
181, ,0.01,3.53E-06,2.53E+22,5.24E-48,1.27E+22,0, ,,,
182, ,0.01,3.74E-06,2.85E+22,5.24E-48,1.42E+22,0, ,,,
183, ,0.01,3.96E-06,3.19E+22,5.24E-48,1.60E+22,0, ,,,
184, ,0.01,4.20E-06,3.59E+22,5.24E-48,1.79E+22,0, ,,,
185, ,0.01,4.45E-06,4.03E+22,5.24E-48,2.01E+22,0, ,,,
186, ,0.01,4.71E-06,4.52E+22,5.24E-48,2.26E+22,0, ,,,
187, ,0.01,4.99E-06,5.07E+22,5.24E-48,2.54E+22,0, ,,,
188, ,0.01,5.29E-06,5.70E+22,5.24E-48,2.85E+22,0, ,,,
189, ,0.01,5.61E-06,6.40E+22,5.24E-48,3.20E+22,0, ,,,
190, ,0.01,5.94E-06,7.18E+22,5.24E-48,3.59E+22,0, ,,,
191, ,0.01,6.29E-06,8.06E+22,5.24E-48,4.03E+22,0, ,,,
192, ,0.01,6.67E-06,9.05E+22,5.24E-48,4.53E+22,0, ,,,
193, ,0.01,7.07E-06,1.02E+23,5.24E-48,5.08E+22,0, ,,,
194, ,0.01,7.49E-06,1.14E+23,5.24E-48,5.70E+22,0, ,,,
195, ,0.01,7.93E-06,1.28E+23,5.24E-48,6.40E+22,0, ,,,
196, ,0.01,8.41E-06,1.44E+23,5.24E-48,7.19E+22,0, ,,,
197, ,0.01,8.91E-06,1.61E+23,5.24E-48,8.07E+22,0, ,,,
198, ,0.01,9.44E-06,1.81E+23,5.24E-48,9.06E+22,0, ,,,
199, ,0.01,1.00E-05,2.03E+23,5.24E-48,1.02E+23,0, ,,,
200, ,0.010353218,1.00E-10,1.77E+13,4.73E-48,6.57E+12,891.4835896, ,,,
201, ,0.010353218,1.06E-10,1.99E+13,4.73E-48,7.70E+12,1172.853885, ,,,
202, ,0.010353218,1.12E-10,2.23E+13,4.73E-48,8.98E+12,1536.588716, ,,,
203, ,0.010353218,1.19E-10,2.51E+13,4.73E-48,1.04E+13,2004.901606, ,,,
204, ,0.010353218,1.26E-10,2.81E+13,4.73E-48,1.21E+13,2605.59455, ,,,
205, ,0.010353218,1.34E-10,3.16E+13,4.73E-48,1.39E+13,3373.4512, ,,,
206, ,0.010353218,1.41E-10,3.55E+13,4.73E-48,1.60E+13,4351.970299, ,,,
207, ,0.010353218,1.50E-10,3.98E+13,4.73E-48,1.83E+13,5595.595876, ,,,
208, ,0.010353218,1.59E-10,4.47E+13,4.73E-48,2.09E+13,7172.507891, ,,,
209, ,0.010353218,1.68E-10,5.02E+13,4.73E-48,2.38E+13,9168.208097, ,,,
210, ,0.010353218,1.78E-10,5.63E+13,4.73E-48,2.71E+13,11690.01838, ,,,
211, ,0.010353218,1.89E-10,6.32E+13,4.73E-48,3.07E+13,14872.82018, ,,,
212, ,0.010353218,2.00E-10,7.10E+13,4.73E-48,3.47E+13,18886.31848, ,,,
213, ,0.010353218,2.12E-10,7.97E+13,4.73E-48,3.92E+13,23944.19576, ,,,
214, ,0.010353218,2.25E-10,8.95E+13,4.73E-48,4.42E+13,30315.72814, ,,,
215, ,0.010353218,2.38E-10,1.00E+14,4.73E-48,4.98E+13,38340.36886, ,,,
216, ,0.010353218,2.52E-10,1.13E+14,4.73E-48,5.61E+13,48446.21286, ,,,
217, ,0.010353218,2.67E-10,1.27E+14,4.73E-48,6.31E+13,61173.17699, ,,,
218, ,0.010353218,2.83E-10,1.42E+14,4.73E-48,7.09E+13,77202.25592, ,,,
219, ,0.010353218,3.00E-10,1.60E+14,4.73E-48,7.96E+13,97392.31521, ,,,
220, ,0.010353218,3.18E-10,1.79E+14,4.73E-48,8.95E+13,122826.4313, ,,,
221, ,0.010353218,3.37E-10,2.01E+14,4.73E-48,1.00E+14,154870.3408, ,,,
222, ,0.010353218,3.57E-10,2.26E+14,4.73E-48,1.13E+14,195245.7737, ,,,
223, ,0.010353218,3.78E-10,2.53E+14,4.73E-48,1.27E+14,246123.2824, ,,,
224, ,0.010353218,4.01E-10,2.85E+14,4.73E-48,1.42E+14,310238.7831, ,,,
225, ,0.010353218,4.25E-10,3.19E+14,4.73E-48,1.60E+14,391040.7597, ,,,
226, ,0.010353218,4.50E-10,3.59E+14,4.73E-48,1.79E+14,492875.4997, ,,,
227, ,0.010353218,4.77E-10,4.03E+14,4.73E-48,2.01E+14,621221.0456, ,,,
228, ,0.010353218,5.05E-10,4.52E+14,4.73E-48,2.26E+14,782981.4103, ,,,
229, ,0.010353218,5.35E-10,5.07E+14,4.73E-48,2.54E+14,986858.1365, ,,,
230, ,0.010353218,5.67E-10,5.70E+14,4.73E-48,2.85E+14,1243818.052, ,,,
231, ,0.010353218,6.01E-10,6.40E+14,4.73E-48,3.20E+14,1567683.413, ,,,
232, ,0.010353218,6.37E-10,7.18E+14,4.73E-48,3.59E+14,1975874.988, ,,,
233, ,0.010353218,6.75E-10,8.06E+14,4.73E-48,4.03E+14,2490349.224, ,,,
234, ,0.010353218,7.15E-10,9.05E+14,4.73E-48,4.53E+14,3138779.35, ,,,
235, ,0.010353218,7.58E-10,1.02E+15,4.73E-48,5.08E+14,3956043.509, ,,,
236, ,0.010353218,8.03E-10,1.14E+15,4.73E-48,5.70E+14,4986100.701, ,,,
237, ,0.010353218,8.50E-10,1.28E+15,4.73E-48,6.40E+14,6284355.176, ,,,
238, ,0.010353218,9.01E-10,1.44E+15,4.73E-48,7.19E+14,7920635.796, ,,,
239, ,0.010353218,9.55E-10,1.61E+15,4.73E-48,8.07E+14,9982951.976, ,,,
240, ,0.010353218,1.01E-09,1.81E+15,4.73E-48,9.06E+14,12582225.82, ,,,
241, ,0.010353218,1.07E-09,2.03E+15,4.73E-48,1.02E+15,15858258.05, ,,,
242, ,0.010353218,1.14E-09,2.28E+15,4.73E-48,1.14E+15,19987244.7, ,,,
243, ,0.010353218,1.20E-09,2.56E+15,4.73E-48,1.28E+15,25191252.39, ,,,
244, ,0.010353218,1.28E-09,2.88E+15,4.73E-48,1.44E+15,31750157.89, ,,,
245, ,0.010353218,1.35E-09,3.23E+15,4.73E-48,1.62E+15,40016696.95, ,,,
246, ,0.010353218,1.43E-09,3.63E+15,4.73E-48,1.81E+15,50435427.79, ,,,
247, ,0.010353218,1.52E-09,4.07E+15,4.73E-48,2.04E+15,63566630.7, ,,,
248, ,0.010353218,1.61E-09,4.57E+15,4.73E-48,2.29E+15,80116426.29, ,,,
249, ,0.010353218,1.70E-09,5.13E+15,4.73E-48,2.57E+15,100974729.8, ,,,
250, ,0.010353218,1.80E-09,5.76E+15,4.73E-48,2.88E+15,127263082.2, ,,,
251, ,0.010353218,1.91E-09,6.47E+15,4.73E-48,3.24E+15,160394918.8, ,,,
252, ,0.010353218,2.03E-09,7.26E+15,4.73E-48,3.63E+15,202151522, ,,,
253, ,0.010353218,2.15E-09,8.16E+15,4.73E-48,4.08E+15,254777721.9, ,,,
254, ,0.010353218,2.27E-09,9.16E+15,4.73E-48,4.58E+15,321102484.7, ,,,
255, ,0.010353218,2.41E-09,1.03E+16,4.73E-48,5.14E+15,404690857.1, ,,,
256, ,0.010353218,2.55E-09,1.15E+16,4.73E-48,5.77E+15,510035405.8, ,,,
257, ,0.010353218,2.70E-09,1.30E+16,4.73E-48,6.48E+15,642797410.9, ,,,
258, ,0.010353218,2.87E-09,1.45E+16,4.73E-48,7.27E+15,810110740.6, ,,,
259, ,0.010353218,3.04E-09,1.63E+16,4.73E-48,8.16E+15,1020964652, ,,,
260, ,0.010353218,3.22E-09,1.83E+16,4.73E-48,9.17E+15,1286686020, ,,,
261, ,0.010353218,3.41E-09,2.06E+16,4.73E-48,1.03E+16,1621546748, ,,,
262, ,0.010353218,3.61E-09,2.31E+16,4.73E-48,1.16E+16,2043528827, ,,,
263, ,0.010353218,3.83E-09,2.59E+16,4.73E-48,1.30E+16,2575287862, ,,,
264, ,0.010353218,4.06E-09,2.91E+16,4.73E-48,1.46E+16,3245366429, ,,,
265, ,0.010353218,4.30E-09,3.27E+16,4.73E-48,1.63E+16,4089721923, ,,,
266, ,0.010353218,4.55E-09,3.67E+16,4.73E-48,1.84E+16,5153650102, ,,,
267, ,0.010353218,4.82E-09,4.12E+16,4.73E-48,2.06E+16,6494206575, ,,,
268, ,0.010353218,5.11E-09,4.63E+16,4.73E-48,2.31E+16,8183254607, ,,,
269, ,0.010353218,5.42E-09,5.19E+16,4.73E-48,2.60E+16,10311300627, ,,,
270, ,0.010353218,5.74E-09,5.83E+16,4.73E-48,2.92E+16,12992320093, ,,,
271, ,0.010353218,6.08E-09,6.55E+16,4.73E-48,3.27E+16,16369828137, ,,,
272, ,0.010353218,6.44E-09,7.35E+16,4.73E-48,3.67E+16,20624514233, ,,,
273, ,0.010353218,6.83E-09,8.25E+16,4.73E-48,4.13E+16,25983841229, ,,,
274, ,0.010353218,7.23E-09,9.26E+16,4.73E-48,4.63E+16,32734110550, ,,,
275, ,0.010353218,7.66E-09,1.04E+17,4.73E-48,5.20E+16,41235621971, ,,,
276, ,0.010353218,8.12E-09,1.17E+17,4.73E-48,5.84E+16,51941714209, ,,,
277, ,0.010353218,8.60E-09,1.31E+17,4.73E-48,6.55E+16,65422669750, ,,,
278, ,0.010353218,9.12E-09,1.47E+17,4.73E-48,7.36E+16,82395711581, ,,,
279, ,0.010353218,9.66E-09,1.65E+17,4.73E-48,8.26E+16,1.03763E+11, ,,,
280, ,0.010353218,1.02E-08,1.85E+17,4.73E-48,9.27E+16,1.30657E+11, ,,,
281, ,0.010353218,1.08E-08,2.08E+17,4.73E-48,1.04E+17,1.64503E+11, ,,,
282, ,0.010353218,1.15E-08,2.34E+17,4.73E-48,1.17E+17,2.07089E+11, ,,,
283, ,0.010353218,1.22E-08,2.62E+17,4.73E-48,1.31E+17,2.60662E+11, ,,,
284, ,0.010353218,1.29E-08,2.95E+17,4.73E-48,1.47E+17,3.28041E+11, ,,,
285, ,0.010353218,1.37E-08,3.31E+17,4.73E-48,1.65E+17,4.1276E+11, ,,,
286, ,0.010353218,1.45E-08,3.71E+17,4.73E-48,1.86E+17,5.1925E+11, ,,,
287, ,0.010353218,1.53E-08,4.17E+17,4.73E-48,2.08E+17,6.53063E+11, ,,,
288, ,0.010353218,1.63E-08,4.68E+17,4.73E-48,2.34E+17,8.21146E+11, ,,,
289, ,0.010353218,1.72E-08,5.25E+17,4.73E-48,2.63E+17,1.03E+12, ,,,
290, ,0.010353218,1.83E-08,5.90E+17,4.73E-48,2.95E+17,1.30E+12, ,,,
