Counter,mX[GeV],mA[GeV],Epsilon,Capture[s-1],Annihilation[s-1],GammaAnn[s-1],IceCubeSignal,LiveTime[s]SommerfeldFile,BranchingRatioFile,Resolution,Kappa0[GeV5],LiveTime[s],SommerfeldFile
71, ,0.011937766417144363,5.878016072274911e-07,None,None,None,None,  , , , ,,
72, ,0.011937766417144363,8.376776400682924e-07,None,None,None,None,  , , , ,,
73, ,0.011937766417144363,1.1937766417144382e-06,None,None,None,None,  , , , ,,
74, ,0.011937766417144363,1.7012542798525892e-06,None,None,None,None,  , , , ,,
75, ,0.011937766417144363,2.4244620170823308e-06,None,None,None,None,  , , , ,,
76, ,0.011937766417144363,3.455107294592218e-06,None,None,None,None,  , , , ,,
77, ,0.011937766417144363,4.923882631706742e-06,None,None,None,None,  , , , ,,
78, ,0.011937766417144363,7.017038286703837e-06,None,None,None,None,  , , , ,,
79, ,0.011937766417144363,1e-05,None,None,None,None,  , , , ,,
80, ,0.014251026703029978,1e-11,None,None,None,None,  , , , ,,
81, ,0.014251026703029978,1.4251026703029963e-11,None,None,None,None,  , , , ,,
82, ,0.014251026703029978,2.030917620904739e-11,None,None,None,None,  , , , ,,
83, ,0.014251026703029978,2.894266124716752e-11,None,None,None,None,  , , , ,,
84, ,0.014251026703029978,4.124626382901348e-11,None,None,None,None,  , , , ,,
85, ,0.014251026703029978,5.878016072274923e-11,None,None,None,None,  , , , ,,
86, ,0.014251026703029978,8.376776400682924e-11,None,None,None,None,  , , , ,,
87, ,0.014251026703029978,1.1937766417144357e-10,None,None,None,None,  , , , ,,
88, ,0.014251026703029978,1.7012542798525856e-10,None,None,None,None,  , , , ,,
89, ,0.014251026703029978,2.4244620170823307e-10,None,None,None,None,  , , , ,,
90, ,0.014251026703029978,3.455107294592218e-10,None,None,None,None,  , , , ,,
91, ,0.014251026703029978,4.923882631706752e-10,None,None,None,None,  , , , ,,
92, ,0.014251026703029978,7.017038286703836e-10,None,None,None,None,  , , , ,,
93, ,0.014251026703029978,1e-09,None,None,None,None,  , , , ,,
94, ,0.014251026703029978,1.4251026703029963e-09,None,None,None,None,  , , , ,,
95, ,0.014251026703029978,2.0309176209047387e-09,None,None,None,None,  , , , ,,
96, ,0.014251026703029978,2.8942661247167516e-09,None,None,None,None,  , , , ,,
97, ,0.014251026703029978,4.124626382901348e-09,None,None,None,None,  , , , ,,
98, ,0.014251026703029978,5.878016072274924e-09,None,None,None,None,  , , , ,,
99, ,0.014251026703029978,8.376776400682925e-09,None,None,None,None,  , , , ,,
100, ,0.014251026703029978,1.1937766417144358e-08,None,None,None,None,  , , , ,,
101, ,0.014251026703029978,1.7012542798525893e-08,None,None,None,None,  , , , ,,
102, ,0.014251026703029978,2.424462017082331e-08,None,None,None,None,  , , , ,,
103, ,0.014251026703029978,3.4551072945922184e-08,None,None,None,None,  , , , ,,
104, ,0.014251026703029978,4.9238826317067414e-08,None,None,None,None,  , , , ,,
105, ,0.014251026703029978,7.017038286703836e-08,None,None,None,None,  , , , ,,
106, ,0.014251026703029978,1e-07,None,None,None,None,  , , , ,,
107, ,0.014251026703029978,1.4251026703029992e-07,None,None,None,None,  , , , ,,
108, ,0.014251026703029978,2.0309176209047388e-07,None,None,None,None,  , , , ,,
109, ,0.014251026703029978,2.894266124716752e-07,None,None,None,None,  , , , ,,
110, ,0.014251026703029978,4.1246263829013564e-07,None,None,None,None,  , , , ,,
111, ,0.014251026703029978,5.878016072274911e-07,None,None,None,None,  , , , ,,
112, ,0.014251026703029978,8.376776400682924e-07,None,None,None,None,  , , , ,,
113, ,0.014251026703029978,1.1937766417144382e-06,None,None,None,None,  , , , ,,
114, ,0.014251026703029978,1.7012542798525892e-06,None,None,None,None,  , , , ,,
115, ,0.014251026703029978,2.4244620170823308e-06,None,None,None,None,  , , , ,,
116, ,0.014251026703029978,3.455107294592218e-06,None,None,None,None,  , , , ,,
117, ,0.014251026703029978,4.923882631706742e-06,None,None,None,None,  , , , ,,
118, ,0.014251026703029978,7.017038286703837e-06,None,None,None,None,  , , , ,,
119, ,0.014251026703029978,1e-05,None,None,None,None,  , , , ,,
120, ,0.017012542798525893,1e-11,None,None,None,None,  , , , ,,
121, ,0.017012542798525893,1.4251026703029963e-11,None,None,None,None,  , , , ,,
122, ,0.017012542798525893,2.030917620904739e-11,None,None,None,None,  , , , ,,
123, ,0.017012542798525893,2.894266124716752e-11,None,None,None,None,  , , , ,,
124, ,0.017012542798525893,4.124626382901348e-11,None,None,None,None,  , , , ,,
125, ,0.017012542798525893,5.878016072274923e-11,None,None,None,None,  , , , ,,
126, ,0.017012542798525893,8.376776400682924e-11,None,None,None,None,  , , , ,,
127, ,0.017012542798525893,1.1937766417144357e-10,None,None,None,None,  , , , ,,
128, ,0.017012542798525893,1.7012542798525856e-10,None,None,None,None,  , , , ,,
129, ,0.017012542798525893,2.4244620170823307e-10,None,None,None,None,  , , , ,,
130, ,0.017012542798525893,3.455107294592218e-10,None,None,None,None,  , , , ,,
131, ,0.017012542798525893,4.923882631706752e-10,None,None,None,None,  , , , ,,
132, ,0.017012542798525893,7.017038286703836e-10,None,None,None,None,  , , , ,,
133, ,0.017012542798525893,1e-09,None,None,None,None,  , , , ,,
134, ,0.017012542798525893,1.4251026703029963e-09,None,None,None,None,  , , , ,,
135, ,0.017012542798525893,2.0309176209047387e-09,None,None,None,None,  , , , ,,
136, ,0.017012542798525893,2.8942661247167516e-09,None,None,None,None,  , , , ,,
137, ,0.017012542798525893,4.124626382901348e-09,None,None,None,None,  , , , ,,
138, ,0.017012542798525893,5.878016072274924e-09,None,None,None,None,  , , , ,,
139, ,0.017012542798525893,8.376776400682925e-09,None,None,None,None,  , , , ,,
140, ,0.017012542798525893,1.1937766417144358e-08,None,None,None,None,  , , , ,,
141, ,0.017012542798525893,1.7012542798525893e-08,None,None,None,None,  , , , ,,
142, ,0.017012542798525893,2.424462017082331e-08,None,None,None,None,  , , , ,,
143, ,0.017012542798525893,3.4551072945922184e-08,None,None,None,None,  , , , ,,
144, ,0.017012542798525893,4.9238826317067414e-08,None,None,None,None,  , , , ,,
145, ,0.017012542798525893,7.017038286703836e-08,None,None,None,None,  , , , ,,
146, ,0.017012542798525893,1e-07,None,None,None,None,  , , , ,,
147, ,0.017012542798525893,1.4251026703029992e-07,None,None,None,None,  , , , ,,
148, ,0.017012542798525893,2.0309176209047388e-07,None,None,None,None,  , , , ,,
149, ,0.017012542798525893,2.894266124716752e-07,None,None,None,None,  , , , ,,
150, ,0.017012542798525893,4.1246263829013564e-07,None,None,None,None,  , , , ,,
151, ,0.017012542798525893,5.878016072274911e-07,None,None,None,None,  , , , ,,
152, ,0.017012542798525893,8.376776400682924e-07,None,None,None,None,  , , , ,,
153, ,0.017012542798525893,1.1937766417144382e-06,None,None,None,None,  , , , ,,
154, ,0.017012542798525893,1.7012542798525892e-06,None,None,None,None,  , , , ,,
155, ,0.017012542798525893,2.4244620170823308e-06,None,None,None,None,  , , , ,,
156, ,0.017012542798525893,3.455107294592218e-06,None,None,None,None,  , , , ,,
157, ,0.017012542798525893,4.923882631706742e-06,None,None,None,None,  , , , ,,
158, ,0.017012542798525893,7.017038286703837e-06,None,None,None,None,  , , , ,,
159, ,0.017012542798525893,1e-05,None,None,None,None,  , , , ,,
160, ,0.020309176209047358,1e-11,None,None,None,None,  , , , ,,
161, ,0.020309176209047358,1.4251026703029963e-11,None,None,None,None,  , , , ,,
162, ,0.020309176209047358,2.030917620904739e-11,None,None,None,None,  , , , ,,
163, ,0.020309176209047358,2.894266124716752e-11,None,None,None,None,  , , , ,,
164, ,0.020309176209047358,4.124626382901348e-11,None,None,None,None,  , , , ,,
165, ,0.020309176209047358,5.878016072274923e-11,None,None,None,None,  , , , ,,
166, ,0.020309176209047358,8.376776400682924e-11,None,None,None,None,  , , , ,,
167, ,0.020309176209047358,1.1937766417144357e-10,None,None,None,None,  , , , ,,
168, ,0.020309176209047358,1.7012542798525856e-10,None,None,None,None,  , , , ,,
169, ,0.020309176209047358,2.4244620170823307e-10,None,None,None,None,  , , , ,,
170, ,0.020309176209047358,3.455107294592218e-10,None,None,None,None,  , , , ,,
171, ,0.020309176209047358,4.923882631706752e-10,None,None,None,None,  , , , ,,
172, ,0.020309176209047358,7.017038286703836e-10,None,None,None,None,  , , , ,,
173, ,0.020309176209047358,1e-09,None,None,None,None,  , , , ,,
174, ,0.020309176209047358,1.4251026703029963e-09,None,None,None,None,  , , , ,,
175, ,0.020309176209047358,2.0309176209047387e-09,None,None,None,None,  , , , ,,
176, ,0.020309176209047358,2.8942661247167516e-09,None,None,None,None,  , , , ,,
177, ,0.020309176209047358,4.124626382901348e-09,None,None,None,None,  , , , ,,
178, ,0.020309176209047358,5.878016072274924e-09,None,None,None,None,  , , , ,,
179, ,0.020309176209047358,8.376776400682925e-09,None,None,None,None,  , , , ,,
180, ,0.020309176209047358,1.1937766417144358e-08,None,None,None,None,  , , , ,,
181, ,0.020309176209047358,1.7012542798525893e-08,None,None,None,None,  , , , ,,
182, ,0.020309176209047358,2.424462017082331e-08,None,None,None,None,  , , , ,,
183, ,0.020309176209047358,3.4551072945922184e-08,None,None,None,None,  , , , ,,
184, ,0.020309176209047358,4.9238826317067414e-08,None,None,None,None,  , , , ,,
185, ,0.020309176209047358,7.017038286703836e-08,None,None,None,None,  , , , ,,
186, ,0.020309176209047358,1e-07,None,None,None,None,  , , , ,,
187, ,0.020309176209047358,1.4251026703029992e-07,None,None,None,None,  , , , ,,
188, ,0.020309176209047358,2.0309176209047388e-07,None,None,None,None,  , , , ,,
189, ,0.020309176209047358,2.894266124716752e-07,None,None,None,None,  , , , ,,
190, ,0.020309176209047358,4.1246263829013564e-07,None,None,None,None,  , , , ,,
191, ,0.020309176209047358,5.878016072274911e-07,None,None,None,None,  , , , ,,
192, ,0.020309176209047358,8.376776400682924e-07,None,None,None,None,  , , , ,,
193, ,0.020309176209047358,1.1937766417144382e-06,None,None,None,None,  , , , ,,
194, ,0.020309176209047358,1.7012542798525892e-06,None,None,None,None,  , , , ,,
195, ,0.020309176209047358,2.4244620170823308e-06,None,None,None,None,  , , , ,,
196, ,0.020309176209047358,3.455107294592218e-06,None,None,None,None,  , , , ,,
197, ,0.020309176209047358,4.923882631706742e-06,None,None,None,None,  , , , ,,
198, ,0.020309176209047358,7.017038286703837e-06,None,None,None,None,  , , , ,,
199, ,0.020309176209047358,1e-05,None,None,None,None,  , , , ,,
200, ,0.024244620170823284,1e-11,None,None,None,None,  , , , ,,
201, ,0.024244620170823284,1.4251026703029963e-11,None,None,None,None,  , , , ,,
202, ,0.024244620170823284,2.030917620904739e-11,None,None,None,None,  , , , ,,
203, ,0.024244620170823284,2.894266124716752e-11,None,None,None,None,  , , , ,,
204, ,0.024244620170823284,4.124626382901348e-11,None,None,None,None,  , , , ,,
205, ,0.024244620170823284,5.878016072274923e-11,None,None,None,None,  , , , ,,
206, ,0.024244620170823284,8.376776400682924e-11,None,None,None,None,  , , , ,,
207, ,0.024244620170823284,1.1937766417144357e-10,None,None,None,None,  , , , ,,
208, ,0.024244620170823284,1.7012542798525856e-10,None,None,None,None,  , , , ,,
209, ,0.024244620170823284,2.4244620170823307e-10,None,None,None,None,  , , , ,,
210, ,0.024244620170823284,3.455107294592218e-10,None,None,None,None,  , , , ,,
211, ,0.024244620170823284,4.923882631706752e-10,None,None,None,None,  , , , ,,
212, ,0.024244620170823284,7.017038286703836e-10,None,None,None,None,  , , , ,,
213, ,0.024244620170823284,1e-09,None,None,None,None,  , , , ,,
214, ,0.024244620170823284,1.4251026703029963e-09,None,None,None,None,  , , , ,,
215, ,0.024244620170823284,2.0309176209047387e-09,None,None,None,None,  , , , ,,
216, ,0.024244620170823284,2.8942661247167516e-09,None,None,None,None,  , , , ,,
217, ,0.024244620170823284,4.124626382901348e-09,None,None,None,None,  , , , ,,
218, ,0.024244620170823284,5.878016072274924e-09,None,None,None,None,  , , , ,,
219, ,0.024244620170823284,8.376776400682925e-09,None,None,None,None,  , , , ,,
220, ,0.024244620170823284,1.1937766417144358e-08,None,None,None,None,  , , , ,,
221, ,0.024244620170823284,1.7012542798525893e-08,None,None,None,None,  , , , ,,
222, ,0.024244620170823284,2.424462017082331e-08,None,None,None,None,  , , , ,,
223, ,0.024244620170823284,3.4551072945922184e-08,None,None,None,None,  , , , ,,
224, ,0.024244620170823284,4.9238826317067414e-08,None,None,None,None,  , , , ,,
225, ,0.024244620170823284,7.017038286703836e-08,None,None,None,None,  , , , ,,
226, ,0.024244620170823284,1e-07,None,None,None,None,  , , , ,,
227, ,0.024244620170823284,1.4251026703029992e-07,None,None,None,None,  , , , ,,
228, ,0.024244620170823284,2.0309176209047388e-07,None,None,None,None,  , , , ,,
229, ,0.024244620170823284,2.894266124716752e-07,None,None,None,None,  , , , ,,
230, ,0.024244620170823284,4.1246263829013564e-07,None,None,None,None,  , , , ,,
231, ,0.024244620170823284,5.878016072274911e-07,None,None,None,None,  , , , ,,
232, ,0.024244620170823284,8.376776400682924e-07,None,None,None,None,  , , , ,,
233, ,0.024244620170823284,1.1937766417144382e-06,None,None,None,None,  , , , ,,
234, ,0.024244620170823284,1.7012542798525892e-06,None,None,None,None,  , , , ,,
235, ,0.024244620170823284,2.4244620170823308e-06,None,None,None,None,  , , , ,,
236, ,0.024244620170823284,3.455107294592218e-06,None,None,None,None,  , , , ,,
237, ,0.024244620170823284,4.923882631706742e-06,None,None,None,None,  , , , ,,
238, ,0.024244620170823284,7.017038286703837e-06,None,None,None,None,  , , , ,,
239, ,0.024244620170823284,1e-05,None,None,None,None,  , , , ,,
240, ,0.028942661247167517,1e-11,None,None,None,None,  , , , ,,
241, ,0.028942661247167517,1.4251026703029963e-11,None,None,None,None,  , , , ,,
