Counter,mX[GeV],mA[GeV],ThermAvgSommerfeld,Kappa0[GeV5]
0,10000.0,0.01,1501379.9083726006,3.128924652547765e+23
1, ,0.01002768031739658,4098394.141535334, 
2, ,0.010055437254790278,1741980.1376302617, 
3, ,0.010083271024267678,2778220.653311276, 
4, ,0.010111181838502424,2156497.3423254676, 
5, ,0.010139169910756848,2093326.4828143772, 
6, ,0.010167235454883608,2847683.190252601, 
7, ,0.010195378685327302,1711765.8130109594, 
8, ,0.01022359981712612,4017307.0554307853, 
9, ,0.010251899065913488,1493531.6142586323, 
10, ,0.010280276647919707,6072080.550915734, 
11, ,0.010308732779973613,1373228.503802434, 
12, ,0.010337267679504231,9869201.562281601, 
13, ,0.010365881564542438,1318035.920744999, 
14, ,0.010394574653722628,17308599.211953513, 
15, ,0.010423347166284376,1310797.6077801285, 
16, ,0.010452199322074123,10390248.147237532, 
17, ,0.010481131341546858,1342522.7149121906, 
18, ,0.010510143445767785,6839716.030676015, 
19, ,0.010539235856414027,1408745.3748020795, 
20, ,0.010568408795776323,4905391.967000335, 
21, ,0.010597662486760707,1507564.379199197, 
22, ,0.010626997152890243,3762236.83333842, 
23, ,0.0106564130183067,1638421.8312380388, 
24, ,0.010685910307772278,3042558.8380793626, 
25, ,0.010715489246671327,1801175.6910282122, 
26, ,0.01074515006101208,2566743.694627426, 
27, ,0.010774892977428351,1995243.979512808, 
28, ,0.01080471822318129,2240090.601362278, 
29, ,0.010834626026161113,2218722.829946235, 
30, ,0.01086461661488885,2009366.5979236446, 
31, ,0.010894690218518079,2467478.3773198337, 
32, ,0.01092484706683668,1842988.4690423263, 
33, ,0.010955087390268592,2734310.9910683613, 
34, ,0.010985411419875584,1721350.0457257759, 
35, ,0.011015819387359,3008387.743773704, 
36, ,0.011046311525061551,1631824.1437466145, 
37, ,0.011076888065969064,3275207.1789063243, 
38, ,0.011107549243712309,1566054.7008347602, 
39, ,0.011138295292568715,3517352.180401858, 
40, ,0.01116912644746423,1518433.196802415, 
41, ,0.011200042943975063,3716157.6514548818, 
42, ,0.011231045018329522,1485217.9827925838, 
43, ,0.011262132907409786,3854164.5121653858, 
44, ,0.011293306848753744,1464019.2394500703, 
45, ,0.011324567080556784,3917916.353932707, 
46, ,0.011355913841673651,1453502.9759736715, 
47, ,0.011387347371620228,3900414.217898357, 
48, ,0.011418867910575385,1453236.4595535477, 
49, ,0.011450475699382815,3802522.446760476, 
50, ,0.011482170979552892,1463637.4246232715, 
51, ,0.011513953993264476,3632876.640328558, 
52, ,0.011545824983366794,1486016.5482059421, 
53, ,0.011577784193381284,3406302.6134177097, 
54, ,0.011609831867503471,1522726.4826745624, 
55, ,0.011641968250604815,3141216.3781929305, 
56, ,0.011674193588234582,1577459.1464339027, 
57, ,0.011706508126621726,2856737.451023193, 
58, ,0.01173891211267678,1655776.5415395899, 
59, ,0.011771405793993724,2570220.105090671, 
60, ,0.011803989418851895,1766038.3307834005, 
61, ,0.011836663236217857,2295648.540099069, 
62, ,0.011869427495747351,1921042.3526141224, 
63, ,0.01190228244778715,2043004.2645384052, 
64, ,0.011935228343377,2141014.988136957, 
65, ,0.011968265434251531,1818443.6604707553, 
66, ,0.012001393972842193,2459303.691090987, 
67, ,0.012034614212279159,1624993.441741598, 
68, ,0.012067926406393287,2933828.6938680983, 
69, ,0.012101330809718036,1463473.7987690503, 
70, ,0.012134827677491435,3671730.558589852, 
71, ,0.012168417265658014,1333441.1994779631, 
72, ,0.012202099830870759,4886934.806981758, 
73, ,0.012235875630493085,1234050.329161188, 
74, ,0.012269744922600795,7048578.254217342, 
75, ,0.012303707965984064,1164835.1380139505, 
76, ,0.012337765020149391,11312865.85302379, 
77, ,0.0123719163453216,1126498.8011288159, 
78, ,0.012406162202445843,20391254.706956208, 
79, ,0.01244050285318956,1121906.4292448424, 
80, ,0.012474938559944495,10724265.51462556, 
81, ,0.012509469585828705,1157656.4185701164, 
82, ,0.012544096194688563,6178395.7203022605, 
83, ,0.012578818651100786,1247019.9194333311, 
84, ,0.012613637220374436,3876130.8234836278, 
85, ,0.012648552168552958,1416102.0473613972, 
86, ,0.012683563762416231,2630254.7107913797, 
87, ,0.012718672269482577,1718095.5685650166, 
88, ,0.012753877958010813,1919106.404067026, 
89, ,0.012789181097002313,2270072.3615140505, 
90, ,0.012824581956203049,1499312.9727208638, 
91, ,0.012860080806105664,3361752.393805105, 
92, ,0.012895677917951532,1251783.2057257174, 
93, ,0.012931373563732822,5838753.224244202, 
94, ,0.01296716801619461,1117504.8895175168, 
95, ,0.013003061548836913,12807527.715881921, 
96, ,0.01303905443591682,1070416.2633073116, 
97, ,0.013075146952450569,12975858.152979512, 
98, ,0.013111339374215644,1107959.3981048104, 
99, ,0.0131476319777529,5564000.795685019, 
100, ,0.013184025040368664,1254496.7567016792, 
101, ,0.013220518840136844,2969733.252695442, 
102, ,0.013257113655901088,1585470.4762148743, 
103, ,0.013293809767276876,1878909.768286162, 
104, ,0.013330607454653674,2313602.43316908, 
105, ,0.013367506999197077,1366169.1106370254, 
106, ,0.013404508682850957,4135851.921609339, 
107, ,0.01344161278833961,1122652.8443806323, 
108, ,0.013478819599169923,10096236.771864802, 
109, ,0.013516129399633552,1036919.9605066715, 
110, ,0.013553542474809057,13493358.13887684, 
111, ,0.013591059110564132,1081692.9551367569, 
112, ,0.01362867959355774,4745094.772299003, 
113, ,0.013666404211242338,1296339.3444418332, 
114, ,0.013704233251866052,2346512.8389586643, 
115, ,0.013742167004474894,1849663.4775052245, 
116, ,0.013780205758914962,1477107.0574195608, 
117, ,0.01381834980583465,3371803.0661811144, 
118, ,0.013856599436686896,1123041.4622709497, 
119, ,0.013894954943731374,9070952.710715532, 
120, ,0.013933416620036741,1008746.5270197465, 
121, ,0.01397198475948288,12626217.2493811, 
122, ,0.014010659656763149,1070845.6652301676, 
123, ,0.014049441607386614,3922959.4501157375, 
124, ,0.014088330907680332,1375667.3818501404, 
125, ,0.014127327854791597,1895570.959699472, 
126, ,0.01416643274669021,2270626.976347349, 
127, ,0.014205645882170775,1230498.1742051844, 
128, ,0.014244967560854969,5511789.256161748, 
129, ,0.014284398083193813,1004865.3077181084, 
130, ,0.014323937750470004,21084831.567040533, 
131, ,0.014363586864800191,1013180.2240155409, 
132, ,0.01440334572913729,4670411.156440416, 
133, ,0.014443214647272802,1284806.8366754078, 
134, ,0.01448319392383915,1947766.5820229778, 
135, ,0.01452328386431196,2194974.070672675, 
136, ,0.014563484775012438,1194277.1365793352, 
137, ,0.014603796963109697,6018778.726977236, 
138, ,0.014644220736623106,972269.4915631433, 
139, ,0.014684756404424638,15361385.819470432, 
140, ,0.01472540427624123,1023573.3662313187, 
141, ,0.014766164662657162,3475379.7151907883, 
142, ,0.01480703787511641,1437074.676640679, 
143, ,0.014848024225925047,1546428.9582899075, 
144, ,0.014889124028253618,3021219.302572595, 
145, ,0.014930337596139532,1034446.2931784242, 
146, ,0.014971665244489453,13163796.64686295, 
147, ,0.015013107289081737,947356.8235713774, 
148, ,0.015054664046568803,5927132.201959977, 
149, ,0.015096335834479587,1184893.3576511526, 
150, ,0.015138122971221963,1926773.9999276965, 
151, ,0.015180025776085153,2211759.2146411985, 
152, ,0.015222044569242182,1101185.7957617, 
153, ,0.015264179671752334,8201242.8256804645, 
154, ,0.015306431405563587,923583.0304058078, 
155, ,0.015348800093515087,7993854.191492814, 
156, ,0.0153912860593396,1100747.3794499093, 
157, ,0.015433889627666009,2093387.3284433135, 
158, ,0.01547661112402176,2024357.4892067926, 
159, ,0.015519450874835397,1103731.3690108818, 
160, ,0.015562409207439003,7840864.333213789, 
161, ,0.015605486450070741,907085.4208896988, 
162, ,0.01564868293187734,7472151.247045432, 
163, ,0.015691998982916622,1109184.179842027, 
164, ,0.015735434934160016,1900328.935248548, 
165, ,0.01577899111749509,2238759.2853935556, 
166, ,0.015822667865728095,1027911.6449197588, 
167, ,0.015866465512586497,11400178.782364696, 
168, ,0.015910384392721525,898620.3680808455, 
169, ,0.015954424841710738,4933559.274807584, 
170, ,0.015998587196060586,1233585.905157083, 
171, ,0.016042871793208964,1490701.1010334184, 
172, ,0.01608727897152783,3173711.415032564, 
173, ,0.016131809070325753,922566.9671511506, 
174, ,0.01617646242985051,22684196.118133754, 
175, ,0.01622123939129172,940788.2844124687, 
176, ,0.016266140296783402,2698754.469584623, 
177, ,0.016311165489406632,1640764.7733853634, 
178, ,0.016356315313192125,1109762.6104132603, 
179, ,0.016401590113122897,7116981.237046265, 
180, ,0.01644699023513688,863780.7648572314, 
181, ,0.016492516026129576,6086470.14228097, 
182, ,0.016538167833956726,1149467.7323969642, 
183, ,0.01658394600743691,1484627.4225730752, 
184, ,0.01662985089635427,3176255.1042546425, 
185, ,0.016675882851461155,884428.3838619301, 
186, ,0.01672204222448082,17006488.348134927, 
187, ,0.016768329368110086,952212.7966953578, 
188, ,0.01681474463602205,2109978.6459270534, 
189, ,0.016861288382868805,1996707.6143933078, 
190, ,0.016907960964284104,958642.0029712096, 
191, ,0.01695476273688614,15789221.038568549, 
192, ,0.017001694058280212,867589.2643413745, 
193, ,0.017048755287061488,3030702.1598258554, 
194, ,0.017095946782817742,1518658.7441019947, 
195, ,0.017143268906132082,1056109.022597571, 
196, ,0.017190722018585746,8393476.526628526, 
197, ,0.01723830648276083,831777.4897731399, 
198, ,0.017286022662243064,4152388.4356613313, 
199, ,0.01733387092162459,1297260.973104452, 
200, ,0.017381851626506784,1144125.710328964, 
201, ,0.017429965143502982,5984461.711080327, 
202, ,0.017478211840241332,815672.8732620717, 
203, ,0.017526592085367585,5110261.9618427735, 
204, ,0.017575106248547922,1197479.8354168653, 
205, ,0.017623754700471762,1189420.1217634904, 
206, ,0.01767253781285461,5232346.34883679, 
207, ,0.017721455958440897,804829.1690773201, 
208, ,0.01777050951100681,5391088.903646569, 
209, ,0.017819698845363174,1173552.747296494, 
210, ,0.017869024337358284,1171257.1136275392, 
211, ,0.017918486363880815,5443595.942452588, 
212, ,0.017968085302862667,794498.801331273, 
213, ,0.018017821533281863,4799789.884149475, 
214, ,0.018067695435165492,1218583.3948550993, 
215, ,0.01811770738959249,1093294.851764089, 
216, ,0.018167857778696724,6835082.357136198, 
217, ,0.018218146985669748,788404.6902536353, 
